City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
82,Kodiak,US,57.79,-152.41,41.0,52,1,17.22,clear sky
83,Saldanha,ZA,-33.01,17.94,60.8,51,0,20.8,clear sky
84,Mehamn,NO,71.04,27.85,35.6,74,75,19.46,broken clouds
85,Flinders,AU,-34.58,150.86,55.0,82,11,1.01,few clouds
86,Zaysan,KZ,47.47,84.87,37.2,73,90,7.23,overcast clouds
87,Severo-Kurilsk,RU,50.68,156.12,36.1,92,100,21.34,overcast clouds
88,Ilulissat,GL,69.22,-51.1,15.8,72,75,4.7,broken clouds
89,Butaritari,KI,3.07,172.79,81.59,74,38,12.57,scattered clouds
90,Awbari,LY,26.59,12.78,63.0,46,0,5.37,clear sky
91,Leningradskiy,RU,69.38,178.42,17.65,93,97,6.15,overcast clouds
92,Albany,US,42.6,-73.97,66.0,42,0,0.92,clear sky
93,Wanning,CN,18.8,110.4,70.48,85,100,18.16,overcast clouds
94,Lincoln,US,40.8,-96.67,69.01,72,90,20.8,overcast clouds
95,Khatanga,RU,71.97,102.5,23.04,97,100,12.41,light snow
96,Podgorenskiy,RU,50.41,39.64,41.09,68,7,2.75,clear sky
97,Havre-Saint-Pierre,CA,50.23,-63.6,33.8,90,90,6.93,overcast clouds
98,Kropotkin,RU,45.44,40.58,49.64,81,6,3.15,clear sky
99,Grindavik,IS,63.84,-22.43,46.4,93,90,18.34,shower rain
100,Harper,LR,4.38,-7.72,80.96,79,68,8.1,light rain
101,Souillac,MU,-20.52,57.52,73.4,73,20,12.75,few clouds
102,Bac Lieu,VN,9.29,105.72,76.55,84,100,7.4,light rain
103,Mitsamiouli,KM,-11.38,43.28,79.75,76,35,13.69,scattered clouds
104,Komsomolskiy,UZ,40.43,71.72,41.0,80,40,2.28,scattered clouds
105,Den Helder,NL,52.96,4.76,55.0,93,90,8.05,overcast clouds
106,Qaanaaq,GL,77.48,-69.36,-6.52,70,0,7.27,clear sky
107,Arraial Do Cabo,BR,-22.97,-42.03,84.2,78,40,13.87,scattered clouds
108,Pangkalanbuun,ID,-2.68,111.62,73.13,93,31,1.03,scattered clouds
109,Waipawa,NZ,-41.41,175.52,50.0,93,100,27.51,moderate rain
110,Ilo,PE,-17.64,-71.34,66.2,72,90,5.82,overcast clouds
111,Mar Del Plata,AR,-38.0,-57.56,69.8,73,75,14.99,light rain
112,Carnarvon,AU,-24.87,113.63,66.2,68,75,23.04,broken clouds
113,Axim,GH,4.87,-2.24,81.5,77,61,7.92,light rain
114,Tasiilaq,GL,65.61,-37.64,32.27,96,100,45.63,overcast clouds
115,Victoria,HK,22.29,114.16,73.99,74,100,1.01,light rain
116,Marawi,PH,8.0,124.29,75.0,95,96,3.0,overcast clouds
117,Garcia Hernandez,PH,9.61,124.29,80.91,78,95,7.76,light rain
118,Margate,GB,51.38,1.39,55.99,90,51,1.99,broken clouds
119,Bethel,US,41.37,-73.41,73.99,42,1,3.58,clear sky
120,Silver City,US,32.77,-108.28,48.2,49,1,19.46,clear sky
121,Blackwater,AU,-23.58,148.88,62.02,74,18,7.52,few clouds
122,Antsohihy,MG,-14.88,47.99,81.61,61,79,3.18,light rain
123,Saint-Philippe,RE,-21.36,55.77,75.2,78,0,12.75,clear sky
124,Isangel,VU,-19.55,169.27,74.3,81,85,14.43,overcast clouds
125,San Juan Del Cesar,CO,10.77,-73.0,85.71,71,75,5.35,moderate rain
126,Clyde River,CA,70.47,-68.59,-2.2,70,40,16.11,scattered clouds
